12450000	12500000	15304	11.57
7950000	8000000	13003	10.73
15100000	15150000	11040	7.185
8000000	8050000	5589	4.785
7100000	7150000	28888	19.145
4750000	4800000	31231	26.425
15650000	15700000	16120	8.145
14400000	14450000	1809	0.35
4600000	4650000	27763	13.065
7050000	7100000	21063	28.715
4800000	4850000	32355	14.17
4500000	4550000	18699	5.22
12500000	12550000	22187	15.055
15700000	15750000	22702	11.53
4650000	4700000	24561	13.58
4550000	4600000	29207	15.27
4900000	4950000	13073	7.885
4700000	4750000	27529	21.3
4850000	4900000	22624	12.25
7150000	7200000	11884	9.59
